Date,Price,Open,High,Low,Change %
"Dec 31, 2017",63.34,63.86,63.87,63.322,-0.78
"Dec 24, 2017",63.84,64.04,64.28,63.79,-0.28
"Dec 17, 2017",64.02,64.16,64.73,63.945,-0.09
"Dec 10, 2017",64.08,64.46,64.56,64.015,-0.62
"Dec 03, 2017",64.48,64.56,64.61,64.23,-0.06
"Nov 26, 2017",64.52,64.72,64.833,64.28,-0.25
"Nov 19, 2017",64.68,64.98,65.13,64.555,-0.52
"Nov 12, 2017",65.015,65.365,65.545,64.625,-0.27
"Nov 05, 2017",65.19,64.67,65.208,64.615,0.98
"Oct 29, 2017",64.56,64.89,64.96,64.48,-0.74
"Oct 22, 2017",65.04,65.075,65.2,64.725,0
"Oct 15, 2017",65.04,64.75,65.165,64.695,0.53
"Oct 08, 2017",64.7,65.375,65.43,64.7,-1.07
"Oct 01, 2017",65.4,65.6,65.642,64.955,0.14
"Sep 24, 2017",65.31,64.845,65.895,64.725,0.79
"Sep 17, 2017",64.795,64.055,65.155,64.002,1.07
"Sep 10, 2017",64.11,63.905,64.175,63.837,0.51
"Sep 03, 2017",63.785,63.945,64.262,63.78,-0.37
"Aug 27, 2017",64.025,63.89,64.06,63.855,0.03
"Aug 20, 2017",64.005,64.075,64.157,64.005,-0.14
"Aug 13, 2017",64.095,63.985,64.328,63.935,-0.07
"Aug 06, 2017",64.14,63.715,64.27,63.62,0.73
"Jul 30, 2017",63.675,64.161,64.294,63.611,-0.69
"Jul 23, 2017",64.115,64.415,64.465,64.065,-0.42
"Jul 16, 2017",64.385,64.355,64.46,64.245,-0.06
"Jul 09, 2017",64.424,64.608,64.638,64.424,-0.31
"Jul 02, 2017",64.625,64.675,64.93,64.54,0.01
"Jun 25, 2017",64.62,64.465,64.84,64.405,0.18
"Jun 18, 2017",64.505,64.445,64.7,64.34,0.06
"Jun 11, 2017",64.465,64.355,64.75,64.245,0.34
"Jun 04, 2017",64.245,64.32,64.515,64.167,-0.26
"May 28, 2017",64.415,64.495,64.707,64.345,-0.15
